lang=en space=False A=26 ncand=867; target d1-6=[0,0.41,0.74,2.16,0.92,1.01], tail 9,13,17 high / 15,19,22 low; resync4=0.55
 joint  dev24  dev8  rs4 d4spr  mechanism                       d1-6 | d9,13,17 | d15,19,22
  78.9   74.7  35.3 0.23  0.74  RotMoveRel k=28 r=2 random     [0.61, 0.96, 0.99, 0.94, 1.08, 0.99] | [0.97, 1.47, 1.11] | [1.22, 0.94, 0.97]
  79.2   75.9  37.3 0.27  0.76  RotMoveRel k=12 r=41 random    [0.98, 0.56, 0.89, 1.01, 0.91, 0.93] | [1.02, 1.01, 0.91] | [0.98, 0.91, 0.94]
  79.8   76.0  31.0 0.24  0.17  RotMoveRel k=20 r=1 spaced3    [0.0, 1.66, 0.51, 0.98, 0.85, 0.99] | [0.99, 0.98, 1.47] | [1.22, 1.27, 0.94]
  79.9   75.1  36.7 0.20  0.08  RotMoveRel k=32 r=9 spaced3    [0.17, 0.29, 0.56, 0.58, 1.01, 0.89] | [0.91, 1.15, 1.14] | [0.9, 0.92, 1.22]
  80.0   76.0  35.5 0.24  0.60  RotMoveRel k=24 r=3 random     [0.39, 1.05, 0.92, 0.99, 1.07, 1.0] | [1.03, 0.99, 0.89] | [1.05, 0.93, 0.88]
  80.0   76.9  34.4 0.28  0.96  LetterDepth r=0 top            [0.59, 0.92, 0.92, 0.91, 0.92, 0.95] | [0.97, 1.07, 1.03] | [1.06, 1.03, 0.94]
  80.7   77.4  35.3 0.26  0.87  RotMoveRel k=40 r=1 random     [0.76, 0.59, 1.14, 0.98, 0.85, 0.86] | [0.89, 0.85, 0.96] | [0.88, 1.02, 0.9]
  80.8   80.7  45.2 0.49  0.61  RotMoveRel k=4 r=7 random      [0.74, 1.01, 0.91, 0.79, 1.05, 0.77] | [0.93, 1.28, 0.95] | [0.98, 0.82, 0.96]
  81.0   68.9  30.0 0.32  5.21  RotMove k=24 r=13 random       [0.0, 1.85, 0.96, 1.95, 1.15, 0.68] | [0.73, 1.19, 1.36] | [0.72, 1.1, 0.83]
  81.1   79.5  40.5 0.35  0.22  MoveNadir step=2 random        [0.95, 1.0, 1.03, 1.08, 1.06, 1.07] | [1.08, 0.99, 1.04] | [1.02, 0.94, 1.04]
  81.2   76.6  36.2 0.21  0.99  RotMoveRel k=20 r=41 random    [0.82, 0.54, 0.81, 0.91, 1.12, 0.91] | [1.0, 0.97, 0.95] | [0.94, 0.98, 0.85]
